Topic,Count,theme1,theme2,Name,Representation,,,,,,,,,,,,,,,,,,,,,
39,525,Values,Family Diversity,39_Unmarried_30_Owns a house_Owns a car,"['unmarried', '30', 'own house', 'own car', '28', '35', '25', '40', '26', '29']",,,,,,,,,,,,,,,,,,,,,
40,474,Values,Individualism,40_wife_partner_bachelor_daughter-in-law,"['wife', 'partner', 'bachelor', 'wife', 'girlfriend', 'can't afford', 'can't get', 'want to have a baby', 'how to have a baby', 'I want to have a baby']",,,,,,,,,,,,,,,,,,,,,
41,465,Childrearing Cost,Economic Uncertainty,41_salary_year_month_medical insurance,"['Salary', 'One year', 'One month', 'Medical insurance', 'Work', 'Two', 'Food, drink and entertainment', 'Monthly salary', 'Ten months', '500']",,,,,,,,,,,,,,,,,,,,,
42,375,Childrearing Cost,Economic Uncertainty,42_Nine turns_Large intestine_Love each other_Family,"['Nine turns', 'large intestine', 'love each other', 'family', 'forward', 'wooden fish', 'crowd', 'Korean girl', '85', 'send to']",,,,,,,,,,,,,,,,,,,,,
43,454,Utility,Emotional Support,43_cousin,"['cousin', 'cousin', 'cousin sister', 'cousin brother', 'cousin sister', 'sister', 'brother and sister', 'relative', 'cousin brother']",,,,,,,,,,,,,,,,,,,,,
44,932,Values,Family Diversity,44_marriage_retribution_married_meaning,"['marriage', 'retribution', 'married', 'meaning', 'trouble', 'precision', 'marriage certificate', 'crack', 'getting the certificate', 'charge']",,,,,,,,,,,,,,,,,,,,,
45,746,Childrearing Cost,Economic Uncertainty,45_Want to have a baby_Can’t afford to have a baby_Cover your face_Don’t dare,"['Want to have a baby', 'Can't afford to have a baby', 'Cover my face', 'Don't dare', 'Don't have a baby', 'I will have a baby', 'Don't want to', 'I want to have a baby', 'Give another baby', 'Smile']",,,,,,,,,,,,,,,,,,,,,
46,804,Childrearing Cost,Expense,46_children_can't_raise_cost_to_raise,"['child', 'can't afford', 'cost', 'to support', 'child', 'education', 'to raise in poverty', 'can't support', 'to raise', 'parents']",,,,,,,,,,,,,,,,,,,,,
47,437,Utility,Emotional Support,47 Regrets getting married,"['regret', 'whether to get married', 'married', 'married', 'regret', 'married', 'ten years', 'married', 'for a lifetime', 'for a while']",,,,,,,,,,,,,,,,,,,,,
48,502,Values,Individualism,48_Sober_Confused_Too_Wake Up,"['clear', 'confused', 'too', 'wake up', 'too', 'a little', 'rational', 'sink', 'live', 'hurt']",,,,,,,,,,,,,,,,,,,,,
49,578,Utility,Emotional Support,49_mother-in-law_my mother_mother_husband,"['mother-in-law', 'my mother', 'mother', 'husband', 'mother-in-law and daughter-in-law relationship', 'grandmother', 'selfish', 'mother-in-law's family', 'children', 'parents-in-law']",,,,,,,,,,,,,,,,,,,,,
50,437,Values,Family Diversity,50_daughter_son_hope_in the future,"['daughter', 'son', 'hope', 'later', 'daughter', 'accept', 'whether to get married', 'grow up', 'support', 'get married']",,,,,,,,,,,,,,,,,,,,,
51,545,Childrearing Cost,Economic Uncertainty,51_Can't afford to support_Can't support_Want to have a baby_Can have a baby,"['Can't afford to support', 'Can't support', 'Want to give birth', 'Can give birth', 'Can support', 'Don't dare', 'Can support', 'Don't support', 'Down', 'Can't afford to give birth']",,,,,,,,,,,,,,,,,,,,,
52,376,Utility,Intergenerational Support,52_ancestors_ancestors_take the blame_ancestors,"['ancestor', 'ancestor', 'take the blame', 'old ancestor', 'moving', 'elder', 'old ancestor', 'unexpectedly', 'a disaster', 'this pot']",,,,,,,,,,,,,,,,,,,,,
53,385,Values,Family Diversity,53_Advantages_Disadvantages_Say_Marriage,"['advantages', 'disadvantages', 'tell', 'marriage', 'please tell', 'meaning', 'life', 'continuation', 'retribution', 'tell']",,,,,,,,,,,,,,,,,,,,,
54,390,Values,Individualism,54_Auntie_Grandma_Old Granny_The first one,"['Aunt', 'Grandma', 'Old Grandma', 'First', 'Big Sister', 'Aunt', 'Transparent', 'Second', 'Shake Head', 'Skin']",,,,,,,,,,,,,,,,,,,,,
55,350,Values,Individualism,55_a flash of inspiration_a wise person_wit_heart,"['a flash of inspiration', 'a wise man', 'wit', 'the heart', 'suddenly', 'hard work', 'coincidence', 'happened', 'self-contained', 'script']",,,,,,,,,,,,,,,,,,,,,
56,412,Population Structure,Labor Surplus,56_population_China_few_few,"['Population', 'China', 'few people', 'fewer people', 'decreasing', '100 million people', 'fewer and fewer', 'many people', '14', 'decreasing population']",,,,,,,,,,,,,,,,,,,,,
57,336,Childrearing Cost,Expense,57_Dowry_House_Car_Banquet,"['bride price', 'house', 'car', 'banquet', 'dowry', 'high price', 'can't afford', 'can't afford', 'too expensive', 'house price']",,,,,,,,,,,,,,,,,,,,,
58,301,,,58_Comment_District has_broken defense_vomiting blood,"['Comment', 'District has', 'Break defense', 'Vomiting blood', 'District as a whole', 'District', 'Irony', 'See', 'Divide or not', 'Take a look']",,,,,,,,,,,,,,,,,,,,,
59,574,Population Structure,Old Age Care Demand,59_children_elderly_grandmother_have children,"['Children', 'Old man', 'Grandma', 'Having a son', 'Dead', 'Son', 'Children', 'Old lady', 'Old grandmother', 'Neighbor']",,,,,,,,,,,,,,,,,,,,,
60,457,Values,Individualism,60_no birth_birth point_analysis_can't afford to give birth,"['not giving birth', 'points of giving birth', 'analysis', 'can't afford to give birth', 'joke', 'want to give birth', 'talk', 'no one', 'thoroughly', 'hair']",,,,,,,,,,,,,,,,,,,,,
61,448,Population Structure,Old Age Care Demand,61_40_years_born_30_35,"['40', 'Birth', '30', '35', '25', 'Older mother', 'Age', '70', 'Want', '50']",,,,,,,,,,,,,,,,,,,,,
62,284,Values,Individualism,62_hahahaha_hahaha_boss_enlightenment,"['hahahaha', 'hahaha', 'boss', 'enlightenment', 'guest house', 'perm and dye', 'barber', 'seize the bamboo shoots', 'after', 'Sister Guo']",,,,,,,,,,,,,,,,,,,,,
63,348,Health,Assisted Reproduction,63_Traditional Chinese Medicine_Western Medicine_Powerful_Profound and Extensive,"['traditional Chinese medicine', 'western medicine', 'powerful', 'profound and extensive', 'magical', 'traditional Chinese medicine', 'believe', 'treatment', 'conditioning', 'doctor']",,,,,,,,,,,,,,,,,,,,,
64,538,Values,Gender Equality,64_female_woman_uterus_male,"['female', 'woman', 'uterus', 'male', 'fertility', 'artificial', 'girl', 'man', 'technology', 'boy']",,,,,,,,,,,,,,,,,,,,,
65,635,Utility,Emotional support,65_motivation_children_thank_hope,"['Motivation', 'Children', 'Thanks', 'Hope', 'Concern', 'Heart', 'Life', 'Moving Forward', 'World', 'Growth']",,,,,,,,,,,,,,,,,,,,,
66,349,Values,Family Diversity,66_want to talk_don't talk_can't talk_didn't talk,"['want to talk', 'don't talk', 'can't talk', 'didn't talk', 'never talked', 'can't', 'don't want to', 'not at all', 'I will talk']",,,,,,,,,,,,,,,,,,,,,
67,470,Childrearing Cost,Expense,67_Rich_No_Money_Marriage_Deposit,"['have money', 'have no money', 'get married', 'deposit', 'salary', 'earn money', 'land', 'house', 'buy a house', 'one month']",,,,,,,,,,,,,,,,,,,,,
68,436,Utility,Reproduction,68_son_daughter_one son_one daughter,"['son', 'daughter', 'one son', 'one daughter', 'two', 'reborn', 'daughter', 'give birth to', 'dare not', 'boy']",,,,,,,,,,,,,,,,,,,,,
69,308,Values,Family Diversity,69_ism_no_marriage_ism_must_marriage,"['ism', 'unmarried', 'ism', 'must marry', 'happiness', 'unmarried', 'temporary', 'infertility', 'living alone', 'together']",,,,,,,,,,,,,,,,,,,,,
70,285,Values,Conflict,70_ancestral grave_doubt_discussion_problem,"['ancestral grave', 'doubt', 'discussion', 'problem', 'moving grave', 'my home', 'elders', 'visiting grave', 'family', 'bless']",,,,,,,,,,,,,,,,,,,,,
71,373,Population Structure,Labor Surplus,71_fertility_population_birth_fertility,"['fertility rate', 'population', 'birth rate', 'fertility', 'decline', 'capitalist', 'birth', 'lower', 'labor force', 'capital']",,,,,,,,,,,,,,,,,,,,,
72,1190,Values,Individualism,72_transparent_fart_insightful_listen,"['transparent', 'fart', 'insightful', 'listen', 'Changsha', 'collection', 'things', 'rhyme', 'Li Lulu', 'too']",,,,,,,,,,,,,,,,,,,,,
73,303,Population Structure,Old Age Care Demand,73_selfish_no_children_selfless,"['selfish', 'not having children', 'children', 'selfless', 'responsible', 'perfect', 'responsibility', 'supporting the elderly', 'having children', 'parents']",,,,,,,,,,,,,,,,,,,,,
74,317,Childrearing Cost,Economic Uncertainty,74_Can't afford it_Can't support it_Adopt_You raise it,"['Can't afford', 'Can't support', 'Adopt', 'You support', 'Can support', 'I will support', 'Feed', 'Enough', 'Cover face', 'Enough']",,,,,,,,,,,,,,,,,,,,,
75,317,Childrearing Cost,Economic Uncertainty,75_Can't afford to give birth_Expert_Slap in the face_Main,"['can't afford', 'expert', 'slap in the face', 'main', 'can't afford', 'professional', 'appearance', 'mutual growth', 'can't afford', 'pleasing']",,,,,,,,,,,,,,,,,,,,,
76,454,,,76_laugh_funny_not alive_very funny,"['laugh', 'funny', 'not alive', 'very funny', 'hahaha', 'hahahaha', 'last', 'first', 'smirk', 'smile']",,,,,,,,,,,,,,,,,,,,,
77,325,,,77_I believe_I don't believe_Believe_Daze,"['I believe', 'Don't believe', 'Believe', 'Daze', 'Too much faith', 'Too much faith', 'Believe it or not', 'I believe it too much', 'Will not believe it', 'Rumor']",,,,,,,,,,,,,,,,,,,,,
78,294,Values,Individualism,78_young_young_looking_looking,"['young', 'young people', 'looks', 'looking at', '00', 'college students', 'childish', 'looks', 'young', '20']",,,,,,,,,,,,,,,,,,,,,
79,361,Values,Family Diversity,79_divorce_calm_domestic violence_remarriage,"['divorce', 'calm', 'domestic violence', 'remarriage', 'divorce rate', 'household register', 'support', 'withdraw', 'cancel', 'divorce certificate']",,,,,,,,,,,,,,,,,,,,,
80,437,Population Structure,Labor Surplus,80 This is true. Well said.,"['this', 'truth', 'speak', 'well said', 'one sentence', 'rightly said', 'classic', 'speak', 'the truth', 'this sentence']",,,,,,,,,,,,,,,,,,,,,
81,286,Utility,Emotional Support,81_Chuan Ge_Lover_Sensible_Voice,"['Brother Chuan', 'lover', 'sensible', 'voice of the heart', 'reasonable', 'expert', 'say', 'only then', 'Xiaochuan', 'finally']",,,,,,,,,,,,,,,,,,,,,
82,276,Utility,Reproduction,82_nose_scarcity makes things valuable_vomiting blood_good looking,"['nose', 'scarcity makes things valuable', 'vomiting blood', 'good looking', 'foreign girl', 'natural law', 'one look', 'mask', 'what's going on', 'is there']",,,,,,,,,,,,,,,,,,,,,
83,376,Values,Family Diversity,83_love_only want_love_don't want,"['Dating', 'Just want', 'Dating', 'Don't want', 'Marriage', 'Partner', 'Love', 'Boyfriend', 'More than', 'Sober']",,,,,,,,,,,,,,,,,,,,,
84,361,Values,Conflict,84_ancestral grave_doubt_question_cousin,"['ancestral grave', 'doubt', 'problem', 'cousin', 'divorce', 'elder', 'family', 'grandfather', 'my family', 'cousin']",,,,,,,,,,,,,,,,,,,,,
85,330,Values,Family Diversity,85_Second marriage_First marriage_Long live together_Original wife,"['Second marriage', 'First marriage', 'Grow old together', 'Original wife', 'Couple', 'Divorce', 'Halfway', 'Gray hair', 'Child', 'Bond']",,,,,,,,,,,,,,,,,,,,,
86,602,Utility,Emotional Support,86_marriage_happiness_marriage_happy,"['marriage', 'happiness', 'marriage', 'happy', 'feel', 'stable', 'life', 'married', 'meaning', 'definitely']",,,,,,,,,,,,,,,,,,,,,
87,252,Utility,Reproduction,87_funny_laughing to death_the first_laughing to death,"['funny', 'laughing to death', 'the first', 'laughing to death', 'laughing to death', 'boy', 'laughing', 'the fourth', 'crazy', 'you']",,,,,,,,,,,,,,,,,,,,,
88,376,Values,Individualism,88_life_happiness_ideal_sugarcane,"['life', 'happiness', 'ideal', 'sugar cane', 'happy', 'two ends', 'days', 'enjoy', 'love life', 'salty food']",,,,,,,,,,,,,,,,,,,,,
89,353,Population Structure,Low Ferility,89_more_several_ten_only,"['many births', 'several', 'ten', 'only one birth', 'eight', 'you give birth', 'many children', 'more blessings', 'many births', 'born']",,,,,,,,,,,,,,,,,,,,,
90,265,Population Structure,Low Ferility,90_selfish_selfish_selfless_selfless,"['selfish', 'selfish', 'selfless', 'selfless', 'derogatory', 'egoistic', 'admit', 'self', 'self-inflicted', 'refined']",,,,,,,,,,,,,,,,,,,,,
91,227,Population structure,Low Ferility,91_reason_reasonable_Xiao Feng_Doming,"['reason', 'reasonable', 'Xiao Feng', 'Duoming', 'big truth', 'reason', 'good to hear', 'rational', 'take a look', '']",,,,,,,,,,,,,,,,,,,,,
92,245,Population Structure,State Intervention,92_contribution_country_patriotic_mission,"['contribution', 'country', 'patriotism', 'mission', 'completion', 'motherland', 'three', 'achievement', 'exceed standard', 'reach standard']",,,,,,,,,,,,,,,,,,,,,
93,475,Utility,Reproduction,93_child_children_cute_baby,"['child', 'child', 'cute', 'baby', 'hate', 'used to be', 'surrender', 'Xinjiang', 'hope', 'weakness']",,,,,,,,,,,,,,,,,,,,,
94,309,Values,Family Diversity,94_friends_social_not_much_making_friends,"['friends', 'social', 'not so', 'make friends', 'made friends', 'like-minded', 'good friends', 'love', 'contact', 'friendship']",,,,,,,,,,,,,,,,,,,,,
95,264,Health,Assisted Reproduction,95_Chinese medicine_pregnancy_TCM_pregnancy,"['Chinese medicine', 'get pregnant', 'Chinese medicine', 'pregnancy', 'Western medicine', 'conditioning', 'examination', 'later', 'a pair', 'can't get pregnant']",,,,,,,,,,,,,,,,,,,,,
96,385,Population Structure,State Intervention,96_National_Human_Entity_Completed_Task,"['country', 'people', 'complete', 'task', 'no one', 'manage well', 'no one's concerned', 'motherland', 'responsibility', 'phenomenon']",,,,,,,,,,,,,,,,,,,,,
97,546,Utility,Reproduction,97_Regeneration_Two_One_is enough,"['have another child', 'two', 'one', 'enough', 'have two', 'don't dare', 'don't have one', 'want to have one', 'I will have one', 'only one']",,,,,,,,,,,,,,,,,,,,,
98,332,Population Structure,Old Age Care Demand,98_hahahaha_xinxin_hahahaha_hehe,"['hahaha', 'xinxin', 'hahahaha', 'hehe', 'yawn', 'tears', '666', 'sly smile', 'descendants', 'expression']",,,,,,,,,,,,,,,,,,,,,
99,243,Population Structure,Old Age Care Demand,99_50_30_Shock_23,"['50', '30', 'Shocked', '23', 'Fifty', 'Can't tell', 'Frightened', '25', 'Looking at', 'College student']",,,,,,,,,,,,,,,,,,,,,
100,254,Utility,Reproduction,100_No offspring is the greatest misfortune_Three types of unfilial behavior_Penguin_Houyi,"['No offspring is the worst', 'Three unfilial acts', 'Penguin', 'Houyi', 'To the extreme', 'Fuyang', 'Brother Chuan', 'Current situation', 'No offspring', 'Too right']",,,,,,,,,,,,,,,,,,,,,
101,273,Values,Family Diversity,101_Downtime_Criminal Record_Support_Romance,"['Downtime', 'Criminal Record', 'Support', 'Romance', 'Carelessness', 'Alone Sober', 'Everyone Is Drunk', 'Question', 'Fifth', 'Version']",,,,,,,,,,,,,,,,,,,,,
102,406,Values,Family Diversity,102_Meet_Together_Fate_Accompany,"['encounter', 'together', 'fate', 'accompany', 'leave', 'mutual', 'love', 'tolerance', 'mutual', 'get along']",,,,,,,,,,,,,,,,,,,,,
103,336,Utility,Intergenerational Support,103_Psychology_Anxiety_Attitude_Heart,"['psychology', 'anxiety', 'mentality', 'heart', 'heart', 'tangled', 'one end', 'depression', 'emotion', 'sense of security']",,,,,,,,,,,,,,,,,,,,,
104,219,,,104_Too Faith_Take Life Faith_Cement_Show Off,"['Too Faith', 'Life-threatening Faith', 'Cement', 'Show off', 'Seal your heart', 'Three million', 'Solo', 'Four years', 'Almost', 'Super']",,,,,,,,,,,,,,,,,,,,,
105,314,Values,Family Diversity,105_angry_furious_quarrel_angry to death,"['angry', 'furious', 'quarrel', 'furious', 'hate', 'curse', 'big grudge', 'swear', 'furious', 'getting angry']",,,,,,,,,,,,,,,,,,,,,
106,449,Utility,Intergenerational Support,106_love_lover_true love_loss,"['love', 'lover', 'sincere', 'loss', 'emotion', 'sincerity', 'believe', 'love yourself first', 'ability', 'not love']",,,,,,,,,,,,,,,,,,,,,
107,269,Values,Individualism,107_Dark_Observation_Power_With Light,"['in the dark', 'observation', 'strength', 'with light', 'look', 'eyes', 'weak', 'in the eyes', 'distinguish', 'cannot see']",,,,,,,,,,,,,,,,,,,,,
108,270,Utility,Reproduction,108_three_four_I gave birth to_twins,"['three', 'four', 'I gave birth', 'twins', 'cover face', 'third child', 'five', 'my family', 'reborn', 'two']",,,,,,,,,,,,,,,,,,,,,
109,220,Childrearing Cost,Expense,109_nanny_free_hire_hire,"['babysitter', 'free', 'hire one', 'employ one', 'elevator', 'rich', 'find one', 'beat to death', 'live at home', 'take care of']",,,,,,,,,,,,,,,,,,,,,
110,255,Values,Individualism,110_Exactly the same_Qing Dynasty_Can't stand it_Forget it,"['Exactly the same', 'Qing Dynasty', 'Can't stand it', 'Forget it', 'Surprise', 'Dissuade', 'Return', 'Return', 'Really good', 'Proud', 'Forget it']",,,,,,,,,,,,,,,,,,,,,
111,281,,,111_mobile phone_naughty_laughing_playing games,"['mobile phone', 'naughty', 'laughing', 'playing games', 'not fun', 'doubtful', 'contact information', 'x000d', 'game', 'turn on the light']",,,,,,,,,,,,,,,,,,,,,
112,217,Values,Individualism,112_Chicken Soup_Lie_Nonsense_Good Guy,"['Chicken soup', 'Cheat', 'Nonsense', 'Good guy', 'Drunk', 'Truth', 'Don't talk', 'All the rules', 'Salary', 'Busy']",,,,,,,,,,,,,,,,,,,,,
113,300,Values,Individualism,113_see through_boring_boring_boring,"['see through', 'boring', 'uninteresting', 'boring', 'transparent', 'interesting', 'thorough', 'see clearly', 'see', 'meaning']",,,,,,,,,,,,,,,,,,,,,
114,262,Values,Family Diversity,114_beauty_pretty_love_rose,"['Beauty', 'Pretty', 'Love', 'Rose', 'Heart', 'Beautiful', 'Beautiful', 'Good-looking', 'Beauty', 'Sugarcoat', 'Koi']",,,,,,,,,,,,,,,,,,,,,
115,283,Childrearing Cost,Expense,115_House price_House_Can't afford_Mortgage,"['House price', 'House', 'Can't afford', 'Mortgage', 'One set', 'Buy a house', 'Dare to have children', 'Can't afford', 'Suite', 'Cheap']",,,,,,,,,,,,,,,,,,,,,
116,285,Values,Individualism,116_Sober_I'm_too_original_to_cry,"['awake', 'I'm too', 'it turns out', 'tears', 'bitter', 'human world', 'awakening', 'crying', 'brain', 'not very good']",,,,,,,,,,,,,,,,,,,,,
117,186,Values,Family Diversity,117_don't want_status_gathering_Xiaobai,"['Don't want', 'Status', 'Gather', 'Xiaobai', 'Now', 'Give birth', 'Don't', 'Fetus', 'Don't ask', 'Not sensible']",,,,,,,,,,,,,,,,,,,,,
118,260,Population Structure,Old Age Care Demand,118_retirement_45_serve_60,"['retire', '45', 'serve', '60', 'take care of', '40', 'born', '85', 'just right', 'time']",,,,,,,,,,,,,,,,,,,,,
