Topic,Count,Name,theme1,theme2,Representation,Representative_Docs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,812,10_Baby stroller_Train_Space_Ride,Childrearing Cost,Public Support,"['stroller', 'train', 'space', 'ride', 'ride', 'carry', 'fold', 'wheelchair', 'priority', 'exclusive']","['How about stroller space', 'That's what I'm talking about', 'Baby stroller']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,690,11. Prime Minister Kishida Fumio,Population Structure,State Intervention,"['Kishida', 'Prime Minister', 'Dimension', 'Fumio', 'Mr.', 'Consideration', 'Citizens', 'Minister', 'Ministry of Finance', 'by']","['Kishida', 'Kishida-mi', 'Kishida-yo']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,681,12_mei_video_san_mei,,,"['mei', 'video', 'san', 'Mei', 'Mei', 'always', 'housework', 'cleaning', 'chan', 'post']","['I'm trying to do housework today, so I'm watching Mei's videos', 'I really like Mei's videos', 'Who is Mei']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1146,13_laugh_laugh_laugh_laugh,,,"['laugh', 'laugh out loud', 'laugh', 'laugh', 'funny', 'laugh', 'hilarious', 'yan', 'www', 'shit']","['LOL', 'LOL', 'LOL']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,813,14_Declining birthrate_Countermeasures_Aging,Population Structure,Low Fertility,"['declining birthrate', 'low birthrate', 'measures', 'aging', 'problem', 'solution', 'government', 'cause', 'advance', 'policy']","['Countermeasures against the declining birthrate', 'Countermeasures against the declining birthrate', 'Countermeasures against the declining birthrate']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,736,15_Video_Mei_Shooting_Shooting,,,"['video', 'mei', 'take', 'film', 'always', 'camera', 'anime', 'post', 'fun', 'take']","['eh video', 'video', 'video']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,591,16_Thank you_Sama_Kind regards,,,"['Thank you', 'Thank you', 'Sama', 'Pleased to meet you', 'Please', 'Hello', 'Lady', 'Production', 'I don', 'Keiichi']","['Thank you', 'Thank you', 'Thank you']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,645,17_Family_Parents_and_Children_Wonderful_Home,Utility,Intergenerational Support,"['family', 'parents and children', 'wonderful', 'home', 'siblings', 'cooperation', 'wonderful', 'happy', 'photo', 'heartwarming']","['Big family talk', 'Big family', 'Big family']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,936,18_marriage_couple_happiness_travel,Utility, Emotional Support,"['marriage', 'couple', 'happiness', 'travel', 'children', 'want', 'kids', 'made', 'life', 'want']","['If you have kids, get married', 'Marriage with kids is happiness', 'Marriage with kids is happiness']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1250,19_words_comments_say_no,,,"['word', 'comment', 'say', 'not', 'say', 'not', 'opinion', 'thought', 'say', 'sorry']","['I know it's hard, but there are not many people who are so awful that you can just say something,' 'Just say sorry, just notice,' 'Everyone will understand and act, just say something, people will make space, I think, understand, I don't create an atmosphere that makes it difficult for me to understand and act, it's my personal feelings']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,554,20_wwww_wwwwww_wwwww_wwwwwwwww,,,"['wwww', 'wwwwww', 'wwwww', 'wwwwwwwww', 'wwwwwwwww', 'www', 'wwwwwww', 'wwwwwwwwww', 'wwwwwwwwwwwww', 'wwwwwwwwww']","['wwwwww', 'Mr. wwwwww cute www', 'different wwww next wwwww original wwwwwwwww']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1000,21_Allowances_Tax_Child_Support,Childrearing Cost,Public Support,"['Allowance', 'Tax', 'Child', 'Dependent', 'Household', 'Income', 'Deduction', 'Tax reduction', 'Pension', 'Salary']","['I want a child support allowance income limit', 'child support child support allowance', 'child support child support allowance']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,652,22_cry_cry_cry_cry,,,"['cry', 'cry', 'cry', 'cry', 'cry along', 'cry along with someone', 'sad', 'this', 'cry', 'sadly']","['The viewers are crying', 'I'm crying', 'I cried within seconds']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,519,23_20_30_first half_treatment,Health,Assisted Reproduction,"['20', '30', 'first half', 'treatment', 'infertility', '40', 'childbirth', 'pregnancy', 'in vitro', 'physical strength']","['You two look like you're in your 20s', 'You look like you're in your 20s', 'You have 20 kids']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,729,24_Thank you_Congratulations_I'm happy,,,"['Thank you', 'Thank you', 'Congratulations', 'I'm happy', 'Speaking for you', 'Thanks', 'Always', 'Thank you', 'Words', 'Give me']","['Wow thank you', 'Wow thank you', 'Thank you']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,717,25_Good_It was good_It was good,,,"['good', 'good', 'good', 'it's good', 'hey', 'it's fine', 'hey', 'it's interesting', 'yes', 'yes']","['Nice', 'Nice', 'Oh ok']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,635,26_ww_funny_funny_yan,,,"['ww', 'funny', 'funny', 'yan', 'various', 'wow', 'consideration', 'name', 'catchphrase', 'waist']","['So funny lol', 'So funny lol', 'Funny lol']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,581,27_Hurry_Hurry_See_It_Do,,,"['early', 'early', 'see', 'do', 'right away', 'more', 'see', 'best before', 'expiration date', 'early']","['Early early', 'early', 'early']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,753,28_Divorce_Separation_Inheritance_Separation,Values,Conflict,"['divorce', 'separation', 'inheritance', 'separate', 'legacy', 'sibling', 'child', 'husband', 'deceased', 'adopted child']","['children second divorce parents', 'children divorce', 'divorce children people']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,672,29_Housewife_Full-time_Housework_Work,Values,Gender Equality,"['housewife', 'full-time', 'housework', 'job', 'childcare', 'female', 'male', 'working', 'working', 'wife']","['A full-time housewife is nice', 'A full-time housewife is easy', 'I want to be a full-time housewife']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,463,30_ keeping_pets_animals,Values,Family Diversity,"['pet', 'animal', 'keep', 'rat', 'pet dog', 'rat', 'experiment', 'human', 'life', 'mouse']","['Children's pets', 'Children's pets are dogs and cats', 'Children's pets']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,618,31_I want to fake my marriage,,,"['marriage', 'fake', 'do', 'want', 'wedding', 'newlywed', 'desire', 'degawa', 'please', 'someday']","['Marriage one vote', 'Marriage haha', 'Marriage -']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1390,32_Children_My_Children_Thinking,Utility,Socialization,"['child', 'myself', 'children', 'think', 'abuse', 'adult', 'dislike', 'feel sorry', 'think', 'bad']","['Children will be born with darkness in their hearts. I don't think it's bad for the wife, but if you look at the child's position, the person who gave birth to them is in the same family, but they treat them like a stranger', 'They must have no time to worry about other people's children's circumstances. I'm sure they're just being generous and worried about themselves. In the first place, it's insensitive to say that other people's children are impossible', 'I want children, I want children, but I want children, I want children, I want to be blessed, I want to have children, people who really want to have children, people who really think, situations, and other people's lives, it's a big mistake to say something like that, it's just irresponsible love, I want to get my way, I want to impose my selfish desires on others, it's wrong, I want to have children after I'm old, I want to have children, I feel sorry for them, some people are a burden']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,568,33_Bathroom_Washing_Detergent,Childrearing Cost,Domestic Labor,"['bath', 'washing', 'wash', 'detergent', 'sponge', 'washing', 'sink', 'cleaning', 'dishes', 'dishes']","['Sponge for washing dishes in the sink', 'Sponge for washing dishes in the sink is the same sponge', 'For a moment I thought the sponge for washing dishes was washing the sink, I panicked lol']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,445,34_Single_Introduction_Marriage_Tax,Population Structure,State Intervention,"['single', 'introduced', 'married', 'tax', 'pay', 'paid', 'married', 'same-sex', 'taken', 'paid']","['A single tax', 'single tax age', 'single tax']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
